id,product_name,brand,category,category_url,ingredients,nutrition_json,serving_size,nutrition_per,image_paths,selected_image,nutrition_extracted,source,scraped_at,energy_kcal_100g,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,protein_100g,salt_100g,fiber_100g,sodium_100g
5449000054227,Original Taste,Coca-Cola,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).","{""carbohydrates"": 10.6, ""carbohydrates_100g"": 10.6, ""carbohydrates_serving"": 26.5, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 10.6, ""energy"": 180, ""energy-kcal"": 42, ""energy-kcal_100g"": 42, ""energy-kcal_serving"": 105, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 42, ""energy-kcal_value_computed"": 42.4, ""energy-kj"": 180, ""energy-kj_100g"": 180, ""energy-kj_serving"": 450, ""energy-kj_unit"": ""kJ"", ""energy-kj_value"": 180, ""energy-kj_value_computed"": 180.2, ""energy_100g"": 180, ""energy_serving"": 450, ""energy_unit"": ""kJ"", ""energy_value"": 180, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fiber_modifier"": ""-"", ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nova-group"": 4, ""nova-group_100g"": 4, ""nova-group_serving"": 4, ""nutrition-score-fr"": 12, ""nutrition-score-fr_100g"": 12, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0, ""salt_100g"": 0, ""salt_serving"": 0, ""salt_unit"": ""g"", ""salt_value"": 0, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_serving"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0, ""sodium_100g"": 0, ""sodium_serving"": 0, ""sodium_unit"": ""g"", ""sodium_value"": 0, ""sugars"": 10.6, ""sugars_100g"": 10.6, ""sugars_serving"": 26.5, ""sugars_unit"": ""g"", ""sugars_value"": 10.6}",250 ml,100g,images\carbonated-drinks\front_en.406.400.jpg,,,openfoodfacts,2025-07-22 09:21:14,42.0,0.0,0.0,10.6,10.6,0.0,0.0,,0.0
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,Natural carbonated water 100%,"{""bicarbonate"": 0.854, ""bicarbonate_100g"": 0.0854, ""bicarbonate_serving"": 0.854, ""bicarbonate_unit"": ""mg"", ""bicarbonate_value"": 854, ""calcium"": 0.108, ""calcium_100g"": 0.0108, ""calcium_serving"": 0.108, ""calcium_unit"": ""mg"", ""calcium_value"": 108, ""chloride"": 0.284, ""chloride_100g"": 0.0284, ""chloride_serving"": 0.284, ""chloride_unit"": ""mg"", ""chloride_value"": 284, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""magnesium"": 0.057, ""magnesium_100g"": 0.0057, ""magnesium_serving"": 0.057, ""magnesium_unit"": ""mg"", ""magnesium_value"": 57, ""nutrition-score-fr"": 0, ""nutrition-score-fr_100g"": 0, ""potassium"": 0.022, ""potassium_100g"": 0.0022, ""potassium_serving"": 0.022, ""potassium_unit"": ""mg"", ""potassium_value"": 22, ""salt"": 0.78375, ""salt_100g"": 0.0784, ""salt_serving"": 0.78375, ""salt_unit"": ""g"", ""salt_value"": 0.78375, ""sodium"": 0.3135, ""sodium_100g"": 0.0314, ""sodium_serving"": 0.3135, ""sodium_unit"": ""g"", ""sodium_value"": 0.3135}",1 L,serving,images\carbonated-drinks\front_en.61.400.jpg,,,openfoodfacts,2025-07-22 09:21:15,,,,,,,0.0784,,0.0314
5449000214911,BTE 33CL SLIM COCA COLA,Coca-Cola,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"Eau gazéifiée, sucre, colorant: E150d, acidifiant: acide phosphorique, arômes naturels, arôme caféine.","{""carbohydrates"": 10.6, ""carbohydrates_100g"": 10.6, ""carbohydrates_serving"": 35, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 10.6, ""energy"": 180, ""energy-kcal"": 42, ""energy-kcal_100g"": 42, ""energy-kcal_serving"": 139, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 42, ""energy-kcal_value_computed"": 42.4, ""energy-kj"": 180, ""energy-kj_100g"": 180, ""energy-kj_serving"": 594, ""energy-kj_unit"": ""kJ"", ""energy-kj_value"": 180, ""energy-kj_value_computed"": 180.2, ""energy_100g"": 180, ""energy_serving"": 594, ""energy_unit"": ""kJ"", ""energy_value"": 180, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nova-group"": 4, ""nova-group_100g"": 4, ""nova-group_serving"": 4, ""nutrition-score-fr"": 12, ""nutrition-score-fr_100g"": 12, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0, ""salt_100g"": 0, ""salt_serving"": 0, ""salt_unit"": ""g"", ""salt_value"": 0, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_serving"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0, ""sodium_100g"": 0, ""sodium_serving"": 0, ""sodium_unit"": ""g"", ""sodium_value"": 0, ""sugars"": 10.6, ""sugars_100g"": 10.6, ""sugars_serving"": 35, ""sugars_unit"": ""g"", ""sugars_value"": 10.6}",330ml,100g,images\carbonated-drinks\front_fr.267.400.jpg,,,openfoodfacts,2025-07-22 09:21:16,42.0,0.0,0.0,10.6,10.6,0.0,0.0,,0.0
6111035003004,Oulmes Eau Gazeuse,Oulmès,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,oulmes eau gazeuse.                                      oulmes eau.                                                       oulmes.                                                                eau drink.,"{""carbohydrates"": 0, ""carbohydrates_100g"": 0, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 0, ""energy"": 0, ""energy-kcal"": 0, ""energy-kcal_100g"": 0, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 0, ""energy-kcal_value_computed"": 0, ""energy_100g"": 0, ""energy_unit"": ""kcal"", ""energy_value"": 0, ""fat"": 0, ""fat_100g"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fiber"": 0, ""fiber_100g"": 0, ""fiber_unit"": ""g"", ""fiber_value"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nutrition-score-fr"": 1, ""nutrition-score-fr_100g"": 1, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0.31, ""salt_100g"": 0.31, ""salt_unit"": ""g"", ""salt_value"": 0.31, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0.124, ""sodium_100g"": 0.124, ""sodium_unit"": ""g"", ""sodium_value"": 0.124, ""sugars"": 0, ""sugars_100g"": 0, ""sugars_unit"": ""g"", ""sugars_value"": 0}",,100g,images\carbonated-drinks\front_fr.12.400.jpg,,,openfoodfacts,2025-07-22 09:21:16,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.124
5449000214799,Coca-Cola Zero,Coca-Cola,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin","{""carbohydrates"": 0, ""carbohydrates_100g"": 0, ""carbohydrates_serving"": 0, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 0, ""energy"": 1, ""energy-kcal"": 0.2, ""energy-kcal_100g"": 0.2, ""energy-kcal_serving"": 0.66, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 0.2, ""energy-kcal_value_computed"": 0, ""energy_100g"": 1, ""energy_serving"": 3.3, ""energy_unit"": ""kcal"", ""energy_value"": 0.2, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nova-group"": 4, ""nova-group_100g"": 4, ""nova-group_serving"": 4, ""nutrition-score-fr"": 4, ""nutrition-score-fr_100g"": 4, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0.066, ""salt_100g"": 0.066, ""salt_serving"": 0.218, ""salt_unit"": ""g"", ""salt_value"": 0.066, ""sodium"": 0.0264, ""sodium_100g"": 0.0264, ""sodium_serving"": 0.0871, ""sodium_unit"": ""g"", ""sodium_value"": 0.0264}",330ml,100g,images\carbonated-drinks\front_en.272.400.jpg,,,openfoodfacts,2025-07-22 09:21:17,0.2,0.0,,0.0,,0.0,0.066,,0.0264
5449000036872,Hawai Tropical,"Hawai,Coca cola",Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"ماء غازي, سكر, مركز عصير البرتقال, محليات, مواد حافظة, مثبت, نكهات طبيعية","{""carbohydrates"": 10, ""carbohydrates_100g"": 10, ""carbohydrates_serving"": 25, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 10, ""energy"": 172, ""energy-kcal"": 41, ""energy-kcal_100g"": 41, ""energy-kcal_serving"": 102, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 41, ""energy-kcal_value_computed"": 48, ""energy_100g"": 172, ""energy_serving"": 430, ""energy_unit"": ""kcal"", ""energy_value"": 41, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fiber"": 4, ""fiber_100g"": 4, ""fiber_serving"": 10, ""fiber_unit"": ""g"", ""fiber_value"": 4, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nutrition-score-fr"": 10, ""nutrition-score-fr_100g"": 10, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0.026, ""salt_100g"": 0.026, ""salt_serving"": 0.065, ""salt_unit"": ""g"", ""salt_value"": 0.026, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_serving"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0.0104, ""sodium_100g"": 0.0104, ""sodium_serving"": 0.026, ""sodium_unit"": ""g"", ""sodium_value"": 0.0104, ""sugars"": 9.5, ""sugars_100g"": 9.5, ""sugars_serving"": 23.8, ""sugars_unit"": ""g"", ""sugars_value"": 9.5}",250ml,100g,images\carbonated-drinks\front_en.44.400.jpg,,,openfoodfacts,2025-07-22 09:21:18,41.0,0.0,0.0,10.0,9.5,0.0,0.026,4.0,0.0104
,S. Pellegrino Water,"Nestlé,Nestlé Waters,San Pellegrino",Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,carbonated water 100%,"{""bicarbonate"": 0.252, ""bicarbonate_100g"": 0.252, ""bicarbonate_label"": ""Bicarbonate"", ""bicarbonate_prepared_unit"": ""mg"", ""bicarbonate_unit"": ""mg"", ""bicarbonate_value"": 252, ""calcium"": 0.164, ""calcium_100g"": 0.164, ""calcium_label"": ""Calcium"", ""calcium_prepared_unit"": ""mg"", ""calcium_unit"": ""mg"", ""calcium_value"": 164, ""carbohydrates"": 0, ""carbohydrates_100g"": 0, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 0, ""chloride"": 0.0494, ""chloride_100g"": 0.0494, ""chloride_label"": ""Chlorure"", ""chloride_prepared_unit"": ""mg"", ""chloride_unit"": ""mg"", ""chloride_value"": 49.4, ""en-strontium_prepared_unit"": ""g"", ""en-sulfate_prepared_unit"": ""g"", ""energy"": 0.0001, ""energy-kcal"": 0, ""energy-kcal_100g"": 0, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 0, ""energy-kcal_value_computed"": 0, ""energy-kj"": 0.0001, ""energy-kj_100g"": 0.0001, ""energy-kj_unit"": ""kJ"", ""energy-kj_value"": 0.0001, ""energy-kj_value_computed"": 0, ""energy_100g"": 0.0001, ""energy_unit"": ""kJ"", ""energy_value"": 0.0001, ""fat"": 0, ""fat_100g"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fluoride"": 0.0005, ""fluoride_100g"": 0.0005, ""fluoride_label"": ""Fluorure"", ""fluoride_prepared_unit"": ""mg"", ""fluoride_unit"": ""mg"", ""fluoride_value"": 0.5, ""fr-strontium_prepared"": 0.0029, ""fr-strontium_prepared_serving"": 0.0029, ""fr-strontium_prepared_unit"": ""g"", ""fr-strontium_prepared_value"": 0.0029, ""fr-sulfate_prepared"": 0.401, ""fr-sulfate_prepared_serving"": 0.401, ""fr-sulfate_prepared_unit"": ""g"", ""fr-sulfate_prepared_value"": 0.401, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""magnesium"": 0.0495, ""magnesium_100g"": 0.0495, ""magnesium_label"": ""Magnésium"", ""magnesium_prepared_unit"": ""mg"", ""magnesium_unit"": ""mg"", ""magnesium_value"": 49.5, ""nitrate_prepared_unit"": ""mg"", ""nova-group"": 1, ""nova-group_100g"": 1, ""nova-group_serving"": 1, ""nutrition-score-fr"": 0, ""nutrition-score-fr_100g"": 0, ""ph_prepared_unit"": ""g"", ""potassium"": 0.0022, ""potassium_100g"": 0.0022, ""potassium_label"": ""Potassium"", ""potassium_prepared_unit"": ""mg"", ""potassium_unit"": ""mg"", ""potassium_value"": 2.2, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0, ""salt_100g"": 0, ""salt_unit"": ""g"", ""salt_value"": 0, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0, ""sodium_100g"": 0, ""sodium_unit"": ""g"", ""sodium_value"": 0, ""sugars"": 0, ""sugars_100g"": 0, ""sugars_unit"": ""g"", ""sugars_value"": 0, ""sulphate"": 0.418, ""sulphate_100g"": 0.418, ""sulphate_label"": ""sulfates"", ""sulphate_unit"": ""mg"", ""sulphate_value"": 418}",,100g,images\carbonated-drinks\front_en.304.400.jpg,,,openfoodfacts,2025-07-22 09:21:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3068320123264,La salvetat,"Danone,La Salvetat",Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"EAU MINÉRALE NATURELLE, GAZ CARBONIQUE","{""bicarbonate"": 0.53, ""bicarbonate_100g"": 0.053, ""bicarbonate_label"": ""Bicarbonate"", ""bicarbonate_serving"": 0.53, ""bicarbonate_unit"": ""mg"", ""bicarbonate_value"": 530, ""calcium"": 0.16, ""calcium_100g"": 0.016, ""calcium_label"": ""Calcium"", ""calcium_serving"": 0.16, ""calcium_unit"": ""mg"", ""calcium_value"": 160, ""carbohydrates"": 0, ""carbohydrates_100g"": 0, ""carbohydrates_serving"": 0, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 0, ""chloride"": 0.005, ""chloride_100g"": 0.0005, ""chloride_label"": ""Chlorure"", ""chloride_serving"": 0.005, ""chloride_unit"": ""mg"", ""chloride_value"": 5, ""energy"": 0, ""energy-kcal"": 0, ""energy-kcal_100g"": 0, ""energy-kcal_serving"": 0, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 0, ""energy-kcal_value_computed"": 0, ""energy_100g"": 0, ""energy_serving"": 0, ""energy_unit"": ""kcal"", ""energy_value"": 0, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fiber"": 0, ""fiber_100g"": 0, ""fiber_serving"": 0, ""fiber_unit"": ""g"", ""fiber_value"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""magnesium"": 0.0075, ""magnesium_100g"": 0.00075, ""magnesium_label"": ""Magnésium"", ""magnesium_serving"": 0.0075, ""magnesium_unit"": ""mg"", ""magnesium_value"": 7.5, ""nova-group"": 4, ""nova-group_100g"": 4, ""nova-group_serving"": 4, ""nutrition-score-fr"": 0, ""nutrition-score-fr_100g"": 0, ""ph"": 6, ""ph_100g"": 6, ""ph_label"": ""PH"", ""ph_serving"": 6, ""ph_unit"": ""g"", ""ph_value"": 6, ""potassium"": 0.002, ""potassium_100g"": 0.0002, ""potassium_label"": ""Potassium"", ""potassium_serving"": 0.002, ""potassium_unit"": ""mg"", ""potassium_value"": 2, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0.0125, ""salt_100g"": 0.00125, ""salt_serving"": 0.0125, ""salt_unit"": ""mg"", ""salt_value"": 12.5, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_serving"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""silica"": 0.055, ""silica_100g"": 0.0055, ""silica_label"": ""Silice"", ""silica_serving"": 0.055, ""silica_unit"": ""mg"", ""silica_value"": 55, ""sodium"": 0.005, ""sodium_100g"": 0.0005, ""sodium_serving"": 0.005, ""sodium_unit"": ""mg"", ""sodium_value"": 5, ""sugars"": 0, ""sugars_100g"": 0, ""sugars_serving"": 0, ""sugars_unit"": ""g"", ""sugars_value"": 0, ""sulphate"": 0.02, ""sulphate_100g"": 0.002, ""sulphate_label"": ""Sulfate"", ""sulphate_serving"": 0.02, ""sulphate_unit"": ""mg"", ""sulphate_value"": 20}",1 L,serving,images\carbonated-drinks\front_fr.100.400.jpg,,,openfoodfacts,2025-07-22 09:21:20,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.0005
5449000131805,Coca-Cola zero azúcar,Coca-Cola,Carbonated Drinks,https://in.openfoodfacts.org/facets/categories/carbonated-drinks,"carbonated water, colour (caramel e150d), acid (phosphoric acid), sweeteners (aspartame, acesulfame k), natural flavourings (including caffeine), acidity regulator (sodium citrates) contains a source of phenylalanine,","{""caffeine"": 0.0095, ""caffeine_100g"": 0.0095, ""caffeine_serving"": 0.0313, ""caffeine_unit"": ""g"", ""caffeine_value"": 0.0095, ""carbohydrates"": 0, ""carbohydrates_100g"": 0, ""carbohydrates_serving"": 0, ""carbohydrates_unit"": ""g"", ""carbohydrates_value"": 0, ""energy"": 0.9, ""energy-kcal"": 0.2, ""energy-kcal_100g"": 0.2, ""energy-kcal_serving"": 0.66, ""energy-kcal_unit"": ""kcal"", ""energy-kcal_value"": 0.2, ""energy-kcal_value_computed"": 0, ""energy-kj"": 0.9, ""energy-kj_100g"": 0.9, ""energy-kj_serving"": 2.97, ""energy-kj_unit"": ""kJ"", ""energy-kj_value"": 0.9, ""energy-kj_value_computed"": 0, ""energy_100g"": 0.9, ""energy_serving"": 2.97, ""energy_unit"": ""kJ"", ""energy_value"": 0.9, ""fat"": 0, ""fat_100g"": 0, ""fat_serving"": 0, ""fat_unit"": ""g"", ""fat_value"": 0, ""fiber"": 0, ""fiber_100g"": 0, ""fiber_serving"": 0, ""fiber_unit"": ""g"", ""fiber_value"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-legumes-estimate-from-ingredients_serving"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_100g"": 0, ""fruits-vegetables-nuts-estimate-from-ingredients_serving"": 0, ""nova-group"": 4, ""nova-group_100g"": 4, ""nova-group_serving"": 4, ""nutrition-score-fr"": 4, ""nutrition-score-fr_100g"": 4, ""proteins"": 0, ""proteins_100g"": 0, ""proteins_serving"": 0, ""proteins_unit"": ""g"", ""proteins_value"": 0, ""salt"": 0.02, ""salt_100g"": 0.02, ""salt_serving"": 0.066, ""salt_unit"": ""g"", ""salt_value"": 0.02, ""saturated-fat"": 0, ""saturated-fat_100g"": 0, ""saturated-fat_serving"": 0, ""saturated-fat_unit"": ""g"", ""saturated-fat_value"": 0, ""sodium"": 0.008, ""sodium_100g"": 0.008, ""sodium_serving"": 0.0264, ""sodium_unit"": ""g"", ""sodium_value"": 0.008, ""sugars"": 0, ""sugars_100g"": 0, ""sugars_serving"": 0, ""sugars_unit"": ""g"", ""sugars_value"": 0}",1 can (330 ml),100g,images\carbonated-drinks\front_en.687.400.jpg,,,openfoodfacts,2025-07-22 09:21:21,0.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.008
